key,message,Final Category
934,"https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzY3Njg3MjYxNjg2NzA=.png Yaaa.. I like to redeem in another voucher. Flipkart,",noclass
935,Hello... I told the flipkart in by mistake.Sryy.. Actually my voucher brand freecharge I want the freecharage voucher code.. Please sent to me.,voucher
936,Helooo. I didn't get my 200 bounty points. Ok,points
937,Helooo I didn't get my 200 bounty points https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1Nzk0NzM5NjM2MTg2NzA=.png,voucher
938,hi,greeting
939,hi my bounty is not working properly and no checkins will be coming,checkin
940,hi,greeting
941,hi,greeting
942,hi,greeting
943,when will i get my vocher nice one,voucher
944,Hi,greeting
945,hi fuck,noclass
946,hii,greeting
947,hii,greeting
948,hi,greeting
949,??,noclass
950,why my 300 rs worth coupon of book my show didn't came to me till now. it's been more than a month,voucher
951,i am not getting any resturant reminders as like first days while i downloadimg app,checkin
952,hii i didn't getting my flipkart vouchers,voucher
953,i redeemed my fkipkart vouchers on last month,voucher
954,any one is there i redeemed flpkart vochers 1 month back when is getting to me,voucher
955,i there is any use with is chat,noclass
956,i got my flipkart coupens what about my pendrive,voucher
957,what about my pen drive statua on dec i redeemed for pen drive,voucher
958,pls activate atleast this account....,other
959,what about my pen drive i redeemed on dec it is possible to send pen drive or pls refund the points to me,voucher
960,hiii,greeting
961,what about my pendrive,voucher
962,any one is there,greeting
963,hi,greeting
964,"i have redeemed 100rs for mobile recharge, but i didn,t get any promocode.it has been nearly around 1 month but no response",voucher
965,hello bounty,greeting
966,hi not getting  points,checkin
967,hello sir gud mrng.    from my account i reedemed flipkart coupan of 100 rs on 24th feb.  up to now i did nt get the voucher.  so kindly issue my vouchar coupan.  ..thankyou pls kindly solvr my problen,voucher
968,hi i havent received my reward vouchers,voucher
969,i didnt get my rewards coupon of rupees250 that is for dominos pizza,voucher
970,can u check once again,noclass
971,Hi Am Not able to recharge,more reward options
972,hello hello,greeting
973,Hi,greeting
974,hu hi,greeting
975,on 2feb I requested for redunption,voucher
976,I didn't get my coupon yet,voucher
977,the app has stopped responding completely check ins are not working i even did snap bill and still didnt get any points,checkin
978,last time also they told like this way only. but i didnt get it,voucher
979,hi,greeting
980,hi hello,greeting
981,hi hello anybody is there,greeting
982,hii https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzY4MTk4ODQ4NTg3MTE=.png hii,noclass
983,hiii hlo,greeting
984,hiiiu,greeting
985,hi I have ordered 2amazon gift cards on 18th and 19th feb.. but still not received pls respond soo,voucher
986,hi,greeting
987,hi,greeting
988,hi any one there hi any one there,greeting
989,h any one there,greeting
990,hi i am shraiyansh,greeting
991,ok hi,noclass
992,why did you rejected my bills of season can I spend the snapshot of recipt again,snapbill
993,hello k,greeting
994,hi,greeting
995,hi is there any one to ans me? i have given request to redeem points for flipkart gift voucher. but not yet received anything. please do the needful.,voucher
996,Hi I have redeemed 100 rs amozon voucher on 23 february . Still i did not get my voucher.,voucher
997,Hello anybody there Hello,greeting
998,Hai,greeting
999,hello noo i want support,other
1000,hiii bounty good morning https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzY2OTgyODUxNjg3Mjg=.png,noclass
1001,i did redeem request on feb 3rd only still didn't get any frecharge freefund code when can i get ...its more than one month,voucher
1002,no reply,noclass
1003,hi,greeting
1004,Bangalore,noclass
1005,hii gud morning,greeting
1006,hi when will points will be refunded to account?,other
1007,hi it's regarding redeem request,voucher
1008,ok But this information had to be shared right But this information had to be shared right,noclass
1009,After 20 days i not received flip kart g v,voucher
1010,hi hello why am I not getting 10points for checkin,points
1011,Hi i have applied flipkart gv on last month 14 But upto now not yet recivied,voucher
1012,No every time saying like that only It is not good,voucher
1013,hi why am I not getting bounty points,checkin
1014,hii,greeting
1015,hii,greeting
1016,y I am not getting any bounty points alert from past 15 to 20 days?? I had even redeem my 1000 points in the month of Feb still I haven't got the Amazon points ok,voucher
1017,but y it is taking so long,other
1018,hi i don't get any biunty points,checkin
1019,hi team i have redimed voucher on 20 th of feb but still i dint receive can u pl check the same,voucher
1020,y I'm i not getting any automated rewards,checkin
1021,i mean points,noclass
1022,im thinking I'll uninstall this app  ..... non of my friends are also getting,checkin
1023,hi m not getting point from last 20 days,checkin
1024,hi I have redeemed amazon coupon but still not got? when I ll get it?,voucher
1025,ohhh thank you adavance,thanks
1026,hello i have requested Rs. 5000 voucher of amazon i hv not recieved yet the redeemed  coupoun,voucher
1027,"i am kee i am snaping neatly, but ur rdjecting happy  mrng",snapbill
1028,Hello K,noclass
1029,For me no alerts are coming Where as my friends are getting in same place,checkin
1030,Hy,greeting
1031,hi this is akash I had redeemed 100 bounty points for Amazon's voucher. i haven't received yet. I don't know how this works. will it be sent to my email id?,voucher
1032,sure thanks ok thanks.. is it linked to my mobile or email id? my email id is akash.seven@gmail.com,thanks
1033,thank you for your time and help. Have a great day :),thanks
1034,hi,greeting
1035,hi how can i get points,checkin
1036,hi I'm not able to sign in,other
1037,hey Till now i did not get my recharge voucher,voucher
1038,13th feb 2016 redeem req kindly check and do the needful ASAP,voucher
1039,How to change my mobile number,other
1040,I am also an Android developer,noclass
1041,hellooo with my friend inviatation i installed this app but we didnt got any points,referral points
1042,you there,other
1043,not for this,noclass
1044,i need for this no 9901399790,noclass
1045,not getting points i have forgot my mail id. how do i log in,other
1046,hello,greeting
1047,When will u send my gift card,voucher
1048,no notifications since 2 weeks plz help,checkin
1049,"hi, how can i recharge my mobile with bounty points..",more reward options
1050,"hi, how can i recharge my mobile with bounty points..",more reward options
1051,"hi, how can i recharge my mobile with bounty points..",more reward options
1052,hi,greeting
1053,hello my promo code not there more than 15 days complet,voucher
1054,Hi i have request for 100 rs recharge 2 times but still i did not get the gift voucher,voucher
1055,I did not get any responds from you,other
1056,Why i am not getting any respods fron Why i am not getting any responds from you.,other
1057,Hi Is there any one who can rply me ?,greeting
1058,hello sincr 2 month had applied gv still not recieved kindly do the need,voucher
1059,i am new to this app so kindly help how to use and utilize offers and deals,other
1060,I am not received bounty reward point notification could you me for this,checkin
1061,hi hi,greeting
1062,"Hi, the places don't have Rolls on Wheels, Hanumanthanagar. Could you add it?",checkin
1063,i have not received my gift card which was redeem one month ago in amazon,voucher
1064,i am unable to check in,checkin
1065,Hi I had redeemed my point on 4th and 5th of March to Amazon coupons. But still I didn't receive any reply.,voucher
1066,yes thank you,thanks
1067,Hello My name is Harsha! I redeemed my 300 Points to Bookmyshow voucher om on feb 21st only. but i have not yet received my gift voucher.,voucher
1068,i hav not received my order from 10 days,voucher
1069,hi is someone there? i had placed points redemption request. actually there are 2 pending requests,voucher
1070,Hi .. I haven't received my gift cards yet its being pending for a month or more 4 requests are pending.,voucher
1071,hii,greeting
1072,hi,greeting
1073,Havnt got my recharge gift card yet. I asked for a book my show voucher instead,voucher
1074,but I selected for recharge and my 100 points got deducted from my account,voucher
1075,hi hello,greeting
1076,I Have reedem 100 points but still I didn't received,voucher
1077,y is the currency redemption been taken out ?,more reward options
1078,why i only get 2 points every single time when i press a notification of being in a bounty zonee,points
1079,hi,greeting
1080,hello,greeting
1081,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzY4Njg2ODYwMzg4MDk=.png when i will get my vouchers ???,voucher
1082,hi i have requested for bookmyshow voucher on feb 14 till now i didn't  get any voucher,voucher
1083,"i did not get freecharge coupon ticket no:138627,138629",voucher
1084,hi hi may i know whats the problem with freecharge gift cards,more reward options
1085,i have requested a redeem bata i had requested for egift voucher for bata on March 29th..could you tell me when will i be getting the e-gift ?,voucher
1086,sorry it was sent on February 29th,voucher
1087,i had requested for bata gift voucher on February 29th...still i have not yet Received it. kindly send the voucher asap. thank you.,voucher
1088,on 11th feb ans 22nd feb i requested for vouchers still not sent how much time it will take,voucher
1089,hello,greeting
1090,please provide Amazon gift voucher instead of freechange,voucher
1091,please provide my freecharge free coupon of 100,voucher
1092,rewards points is not coming y,checkin
1093,Not receiving points,checkin
1094,hey when i get my e-gift voucher of freecharge,voucher
1095,when i get my e-gift voucher,voucher
1096,hi der,greeting
1097,hello,greeting
1098,hi i did not get my voucher code for amazon reedem requests made kindly look into it,voucher
1099,hi,greeting
1100,"hi from past 3 weeks im not getting check in alerts , please look into it",checkin
1101,"hi, haven't received my redemption request submitted on 13 feb",voucher
1102,Is My bounty app updated when iam receive my redeem request for ebay,voucher
1103,Not get coupon code,voucher
1104,hello i need a clear information about my request for gift card the redeem was sent on February 6th 2016,voucher
1105,I am not receiving the points,checkin
1106,Hi,greeting
1107,hi not yet received my voucher,voucher
1108,i requested for a voucher for dominos. i have still not got it date was 4th march,voucher
1109,u people will give my voucher r nt hw long does it take.. as. mentioned u shud give widin 4 days bt it's already 1 mnth atleast reply u cheapsters,voucher
1110,hi,greeting
1111,hi we you not giving mobile recharge coupons why,voucher
1112,Hi any one is there,greeting
1113,Hello,greeting
1114,hi i appled tap on Amazon 2times.but i don't have voucher code till now please send me,voucher
1115,hi send me voucher code,voucher
1116,when will i get my freecharge gift cards... i have requested 2 Rs. 100 cards and its been weeks now .,voucher
1117,thnq.. I got it now ...,thanks
1118,hi On February 9th I have applied for Flipkart 500 GV . but didn't get any coupon.I hv already sent a mail to support@bountyapp.in,voucher
1119,I don't know why this chat box is for,other
1120,Hello could you please reply me when my gift card will be sent it's nearly 1 month passed away. I have many mails.,voucher
1121,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzY4NjYwMzU5Mzg4NTg=.png where do i enter the mobile number?,other
1122,hello good new features...but where is the mobile recharge option...,more reward options
1123,What's the use of  chT if u guys don't reply,other
1124,Hey ... My amazon voucher is not working..  exchange it got a flipkart voucher,voucher not working
1125,heyy I had placed a request on 4th February .. its been more than 1 month I haven't received my voucher,voucher
1126,hi your service is very bad i requested redeem on 7 feb,voucher
1127,hello I dint get my voucher yet I requested on 3rd march,voucher
1128,hello hello hey,greeting
1129,hi,greeting
1130,hi anybody thrre ?,greeting
1131,hey,greeting
1132,hey,greeting
1133,Freecharge vochure code does not get last 1 month please send the vochure code as possibly early.,voucher
1134,Send the vochure,voucher
1135,Send the vochure Please verify,voucher
1136,hi,greeting
1137,hi Are you connected,greeting
1138,hai,greeting
1139,i have latest app but there is no option for gift card,voucher
1140,when my eBay voucher received tell me???,voucher
1141,i have sumbit my bill when my point will come,snapbill
1142,hello there anybody thr??!,greeting
1143,hi my book my show voucher is not working. Can u pls help me out with it. It says the voucher code is wither invalid or already has been used But I haven't used the voucher.,voucher not working
1144,When will my voucher be delivered? I redeemed it on 10th feb,voucher
1145,no response?,greeting
1146,hi,greeting
1147,still out?,greeting
1148,I didn't get coupon.. As I applied 3 weeks before it's worth 100rs,voucher
1149,hi my app is not working,checkin
1150,respond appropiately,greeting
1151,"hi respond i have already requested a 100 rs coupon  , its being more then one month , where is the coupon ??",voucher
1152,helo,greeting
1153,i didnt get the voucher from amazon it should have come today but i didnt still receive flipkart*,voucher
1154,Hi there is a redeem request pending from 09 feb 2016.. could you please provide the status of the same sure,voucher
1155,i didn't  received  my recharge coupon pls send me the coupon as soon as possible,voucher
1156,hi is there any one i am not getting any rewords,checkin
1157,i requested on 24 FEB. 100 points to Amazon. 24th FEB,voucher
1158,hi...i have not received my 100rs recharge voucher its been one month tat i have redeemed points r deducted already,voucher
1159,when will i get refund??,other
1160,will we get freecharge coupons in future ?,voucher
1161,when will we get freecharge coupons ?,voucher
1162,how can i recharge my mobile ebay for what,more reward options
1163,hi still i didn't receive my girl voucher hey bhagat if you have remember then just remember that we already talked about my pending two gi,voucher
1164,hi bounty why im not getting any point from last 3 week ?,checkin
1165,"i requested a flipkart gift card worth 100 on 8th March, i wanted to know when will it arrive ??",voucher
1166,hey still haven't received amazon coupons ok,voucher
1167,hello,greeting
1168,hello reply,greeting
1169,hi on 10th of feb i given redeem request but still now i couldn't get. pls do the ASAP,voucher
1170,No Coupon for redeemed points which was done on 12th February 2016 This is my 4th Complaint,voucher
1171,I am still waiting for the gift coupon which I had redeemed a month back.,voucher
1172,hi,greeting
1173,hello bounty thnku,thanks
1174,hi i have booked a gift vocher in bata on 29 th februray you said that it will take 4 working days but till now i didnt receive my voucher,voucher
1175,where is the BookMyShow coupon I have requested for. request was made on 9th February,voucher
1176,hi where is my February 03rd 2016 100 points of amazon coupon could u assist on this,voucher
1177,chi hi i am mallikarjuna,noclass
1178,hi,greeting
1179,hi,greeting
1180,hi i am not gettung vouchers okk,voucher
1181,hello,greeting
1182,hi ok,noclass
1183,hi gud noon i dont want amazon voucher..you can send back the rewards to my account..,other
1184,can you help me with my earlier coupon of rs.500? or rs.1000 as i dont exactly remember the amount i asked the coupon for..,voucher
1185,I didn't received my bounty voucher it's has been requested one month back. on 12 Feb.,voucher
1186,hi i redeem my 500 points for myntra voucher but I still not gey it....,voucher
1187,hii i requested 4 a topup gift card bt even aftr 1 month m nt getting it,voucher
1188,hi I had applied to redeem the bounty points but i have not received any response on the voucher request,voucher
1189,my reward points say -145,other
1190,hello i have requested for snapdeal vocher but i haven't get it,voucher
1191,hello dudes,greeting
1192,hi anybody there?,greeting
1193,hi i requested redeem for 500 one month back but till today i didn't received vouchers,voucher
1194,Hi,greeting
1195,hi,greeting
1196,I haven't received my freecharge voucher of 100rs I redeemed it on 14th feb,voucher
1197,hello the previous places which i used to have in my zone in the app has been removed now ??,checkin
1198,hi I have a query regarding my pending gift voucher I have redeem some of my points on 12th February but till I didn't got any voucher,voucher
1199,hiii were is my coupon code of flipkart and there is another issue regarding the point,voucher
1200,hi i have redeemed for mobile recharge voucher on 22nd feb. till now i have not received when will i get the voucher,voucher
1201,hello hi,greeting
1202,hiii how many days waiting for my redaom coupons plzz rly fast,voucher
1203,hi i have applied for gift voucher when will it come ?,voucher
1204,hi I am not getting any alarms at the places also,checkin
1205,send me my gift voucher,voucher
1206,hello i am not getting the rewards,checkin
1207,hellow i am having points in minus please solve my problem,other
1208,"hi, bounty is prompting me to upgrade but I have already upgraded",other
1209,i didn't get camera icon on mu screen https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzY4NzY3NDI2MDg5NDI=.png,snapbill
1210,Hello looking for customer support. need help with a voucher of mine.,voucher
1211,"Hi I redeemed 100 points with freecharge voucher on 8th February 2016.. up to now, i did not get any gift of freecharge..",voucher
1212,Hi Team,greeting
1213,Hi,greeting
1214,why iam earning just 2 points ?,points
1215,i am receiving only 2 points ???,points
1216,hi iam receiving only 2 check in points,points
1217,hi I requested for a voucher on 15 Feb. still I dint get it can you please update ?,voucher
1218,"hi. hello is there anyone. This is Srinadh i have reedem for flipkart vouchers of worth 100,100 respectively before 20 days i have raised the query about this previously now u have send the update the app and u will receive the vouchers can i believe this now.",voucher
1219,me coupen my coupen my coupen,voucher
1220,my coupen my coupen plz send it,voucher
1221,hi,greeting
1222,hi Team,greeting
1223,hi i have applied for a pendrive its been 4 months,voucher
1224,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzY5NDEyMTgzMzg5NTc=.png,noclass
1225,redeem request freecharge has not been delivered yet,voucher
1226,Hi team bounty I had requested for a book my show voucher against my bounty points redemption around 25 Feb. I am yet to receive those Could you please let me know what's the holdup?,voucher
1227,I've not received my gift cards and it's been more than a month now.,voucher
1228,hello,greeting
1229,my Recharge code has not been sent,voucher
1230,this is to inform you that its almost more than a month still i have not received my 700 points voucher till now plz take it further and do needful asap,voucher
1231,hi i have requested for freecharge voucher on 9feb and have not recd the same,voucher
1232,hello hi,greeting
1233,where is my Rs 100 freecharge gift voucher??,voucher
1234,hi,greeting
1235,hi Hello helli,greeting
1236,hi,greeting
1237,hi i have redeemed 2 flipkart vouchers.its been more than month. i have not received my voucher code for the same,voucher
1238,My profile name changed automatically. How,noclass
1239,I didnt reedem coupon for 100rs i hav sent request on 23rd feb wen I may get sorry its did reedem,voucher
1240,hi hello iam,greeting
1241,Hi I am one of Bounty Customers I have placed request for flipkart voucher on 12 feb 2016,voucher
1242,Hi regarding Flipkart coupon request,voucher
1243,"i requested for recharge of 100 rs. on 8th feb,but still i din't get my gift card.... plz send my gift card fast",voucher
1244,not getting any bounty points from a long ago,checkin
1245,hie,greeting
1246,didnt yet receive my Amazon voucher,voucher
1247,have still not received free charge coupon codes redeemed on 11th feb,voucher
1248,hii am not getting bounty,checkin
1249,hi there I just redeemed voucher on 1st of this month.... but still didnt got any update,voucher
1250,hello some of my frnds installed this app by using my refrl code,referral points
1251,U revert my points 500 points I want back,other
1252,hi I have almost a month back I have redeem 500 points for freecharge coupon Which I have not received,voucher
1253,hello hello,greeting
1254,Fine,thanks
1255,I'd redeemed rs 100... I've not yet got it... it's been a month nd a half...,voucher
1256,are u have any other recharge vouchers,more reward options
1257,i have requested for free charge 100 vouchers many days ago i haven't received till now...,voucher
1258,Hiii bounty team I hav a request...why cant i have recharge coupon in my reedeem list,voucher
1259,hi i redemed 100 on feb 11th freecharge code still i don't get voucher,voucher
1260,hello yaar i didn't get cupon for 100 freecharge one still i done at 11feb,voucher
1261,tq tq,thanks
1262,hi i reedemed 250 for dominos wen it ll reach me,voucher
1263,hello plz reply,greeting
1264,hi Bounty i request to send my gift voucher when I can expect to receive my voucher,voucher
1265,hii,greeting
1266,i have redeem the freecharge in 8th feb..but no code receive,voucher
1267,Hey,greeting
1268,hi hii,greeting
1269,hi,greeting
1270,hi,greeting
1271,hi does this update supports Android 6 or not,other
1272,hi,greeting
1273,hii,greeting
1274,hello,greeting
1275,hii anyone there ? if my points are 199..and earphones are Rs 199..then how much I have to pay ??,other
1276,hello i did a redeem request but didnt get the voucher can u please check on this,voucher
1277,I not getting any coupons,voucher
1278,hello,greeting
1279,hi. i sent a request for amazon. how long it will take.,voucher
1280,I am not able to use my voucher. can anyone help me out,voucher not working
1281,Hi,greeting
1282,from 3months on wards i am not getting any points please help me when i am present at bounty jones even 1hour also i am not getting any points,checkin
1283,hi my bounty is not at all working even for my frnds also,checkin
1284,hello. I sent redeem of 100. 2 times before one month. still I Dint got any voucher.. is it fake app or what? how much time we need to wait..,voucher
1285,hii bounty,greeting
1286,hi bounty,greeting
1287,"On 8th Feb I requested for freefund, and now today is 11th March, when you will give me freefund? https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzY4ODc2NTk1OTkwMzY=.png",voucher
1288,hey i redeemed 100 points for Amazon voucher like few days back,voucher
1289,hi this is saranya i kept the rechrge vouchers on 6th 7th and 12th for 100 100 and 100,voucher
1290,wht a cht super how u people r responding,other
1291,helloooooooooooo ok,noclass
1292,hi is any1 available,greeting
1293,hey i didnt got my voucher yet,voucher
1294,ok thank u,thanks
1295,i didn't get gift card,voucher
1296,why is my gift card validation is only one month....,other
1297,hff,greeting
1298,why my flipkart gift voucher is valid for only one month when will.they come,voucher
1299,hi its one month still i didn't receive recharge coupon. how many days will you take for recharge coupon.,voucher
1300,hi k,greeting
1301,hi guys i sent vouchor request on feb 13th till now i didnt get vouchor,voucher
1302,hi,greeting
1303,hello,greeting
1304,hi Team,greeting
1305,i havnt received my last rechage amout for the past 25 days.,voucher
1306,i have not got my reward points yet which I havE redeemed for flipkart,voucher
1307,hi i want to knw wen ill get my coupons i have redeemed before a month,voucher
1308,hi have reedem 500 points two eeeks ago but i did not receive anything yet,voucher
1309,"hi i have 3 pending vouchers for flipkart which are yet to be delivered . so could you please check it once because i kept the request long back , i know you people might have so many requests just please confirm when i will get , i mean the max num of days i have to wait to get the voucher and now i kept a request fr the other flipkart voucher :)",voucher
1310,i got it thank you,thanks
1311,worst app Every time saying ur people Monday also  ur people will not Monday also ur people will not respond I think so,other
1312,Give me rply 3 requested  plz ubdate me status,voucher
1313,Why are you not responding  your people my 300 points requested  but I didn't get any reply from you please update me,voucher
1314,hi i have sent 3 redeem requests on 19th feb 26th feb and 9th march none of the request is processes yet,voucher
1315,hi,greeting
1316, ,noclass
1317,I've given request for recharge coupon on Feb 13 but o haven't received it yet can you at least tell me how many days that it will take,voucher
1318,hi i had redeemed my available points requesting for a Flipkart gift voucher but i have not received it yet,voucher
1319,pleas send my gift card,voucher
1320,i didnt got my gift card,voucher
1321,I had redeemed my voucher on Feb 20... I still haven't received my voucher how long will it take?,voucher
1322,hello ive ordered strontium sd card 16GB class 10 i still didn't get iy,voucher
1323,"hi team i have redeemed my points for sandisk 4gb pen drive,  but till today i have not received the voucher for same. will you please provide update on this.",voucher
1324,"hi team,  any update on the above mentioned issue?",noclass
1325,hi i had requested for 100 rs freecharge coupon but still it is not delivered,voucher
1326,it has been a month since o requested a coupon and I'm yet to receive it,voucher
1327,hello!!!,greeting
1328,hello anyone there ?,greeting
1329,Hi,greeting
1330,last month i have kept redeem for freecharge still nt yet received any coupon,voucher
1331,i have redeemed 500 points for flipkart voucher on february 3rd 2016 but i had not received the voucher till now i had already mailed regarding this for two times but I didnot get the reply till nw,voucher
1332,hi,greeting
1333,"hello.. I am unable to get 10 bounty points for every login.. I am receiving only 2 bounty points for every login even though, my internet is in ON state..",points
1334,hey guys my gift voucher is not yet arrived it has been 2 months since i have applied,voucher
1335,hi i reedem 100 points still i don't get.,voucher
1336,fake site,other
1337,Hi When I will be getting my vouchers. Its already been more than a month,voucher
1338,Still i didnt get flipkart gift card,voucher
1339,hello i redeemed a coupon of 100 feom recharge from 25 days back,voucher
1340,hello i didn't receive my coupon of 100 which i redeemed 30days back,voucher
1341,hi,greeting
1342,these days I'm not getting points for checns why I'm not getting points these days for check in s,checkin
1343,"Hello dear bounty app, actually I am not getting any alerts from past 15 15 to 17day and I had sent my querry by mail. then I got reply form your backend like to solve my querry you need 3to4days time but still I haven't receive any information",checkin
1344,i got promo code from my friend but it does exist it dbt exist,referral points
1345,past 1 month i am not getting points,checkin
1346,requested for a Recharge of Rs.100 on Feb 15. havent got the redeem code yet! :/ please help?,voucher
1347,hi https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzY4OTM1ODk1NTkxMDI=.png on 9 feb i given redeem request still now i didn't receive any voucher,voucher
1348,hii,greeting
1349,hi for checking in m getting only 2 point,points
1350,how to get upgrade version,other
1351,are you there,greeting
1352,"I redeemed 100 points for flipkart before 15 days, still not came please check and let me know",voucher
1353,"i redeemed for flipkart coupon for 500 points, still not recieved",voucher
1354,not getting bounty points,checkin
1355,"why you removed Freecharge coupon option why you removed Freecharge coupon option and i just got 2 points for visiting a partner place why,?? reply asap",points
1356,hello,greeting
1357,hello?,greeting
1358,i sent a redeem request on 23rd feb still havent received the voucher,voucher
1359,bjbnnn,noclass
1360,hi i didn't got Amazon coupon code till now its already one month,voucher
1361,i had redeemed my 500 points 2 months back to buy a flipkart voucher. Haven't received any voucher yet. have written mails but no response from your side. at least return my 500 points so that i can buy some other voucher. or tell clearly you guys are fake,voucher
1362,hi,greeting
1363,hello is any one there ..???,greeting
1364,hello i didn't get 100 rs flipkart voucher,voucher
1365,hi,greeting
1366,still i dint get my recharge voucher that i redeemed on 7 th February still i dint get my recharge voucher that i redeemed on 7 th February when can i expect it?,voucher
1367,hi,greeting
1368,hey any ETA for the freecharge coupons which i redeemed....,voucher
1369,I have not yet received my redeem voucher Hey anyone replying,voucher
1370,anyone there,greeting
1371,hello,greeting
1372,Hey hii I have requested for Flipkart voucher on 7 and 24 FEBRAURY and i didn't received my vouchers yet May i know the reason,voucher
1373,hai i didnt receive my voucher even after i mailed you two times,voucher
1374,i requested for gift voucher on feb 14 still havent received it really pathetic service,voucher
1375,hi there,greeting
1376,anyone ther?,greeting
1377,I had uploaded snap worth Rs 330/- why only 10 points get added? anybody there frm bounty?,snapbill
1378,why i am not getting any check ins  this days after updating 4 latest version,checkin
1379,After latest update my app is not opening properly and rewards page is not opening properly where I can redeem points with diff stuff like flipkart etc,more reward options
1380,"My details Email: labuonandroid@gmail.com,mob: 9035833695, My frnds detail whom Ive refferd email: yogitajoshi612@gmail.com,mob:8867833695 My details Email: labuonandroid@gmail.com,mob: 9035833695, My frnds detail whom Ive refferd email: yogitajoshi612@gmail.com,mob:8867933695 please check the mob no in the last msg",referral points
1381,Hey thanks. 50 points have been credited now.,thanks
1382,After latest update my bounty app is not loading properly. Also I am not getting any check ins these days. If i reinstall it then my redeem points will remain or will be lost?,checkin
1383,I am still waiting for ur reply.,other
1384,After latest update my bounty app is not loading properly. If I reinstall then would I lose my bounty points?,other
1385,After latest update my bounty app is not loading properly. Could I reinstall without losing my bounty points?,other
1386,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzkzOTE2OTMzMzkxNDE=.png it look like this. I have reinstalled and its working fine now thank you.,noclass
1387,hi,greeting
1388,hi i didn't get my rewards points from your side can you check that,checkin
1389,hi any one there ?,greeting
1390,i did not receive vocher its almost 1month back i reemeded,voucher
1391,I am still waiting for 100 rs egift voucher in free charge,voucher
1392,hi my 100 mamzon coupon code not yet received i have requested on 15 feb,voucher
1393,Redeemed my points on Jan 30th 2016 but still I didn't get any coupon code can I know still how much time you need to send my Coupon code??,voucher
1394,Hai I'm not able to get...alaram sound when I'm reaching to restaurants Hai....I have redeem 300points for book myshow on 18feb....but still now I dint get any reply from u people Hai response is required plz,voucher
1395,"hi its more that 20 days when i requested the redemption of book my show voucher, but till now i have not received. you guys have very bad customer support.",voucher
1396,hii I didn't get my last voucher for Amazon and it's already been1 month,voucher
1397,why am i not getting 10 points...even after successful check in before 15mins,checkin
1398,hi i dint get any coopans from you guys,voucher
1399,"hi, i requested for 0 100 rupees frecharge voucher on 8th feb and yet not received. is anyone listening?",voucher
1400,hello,greeting
1401,Hi ?? Is anyone there?,greeting
1402,i did not get my coupon its been 1 month,voucher
1403,I have requested so many coupons. But I haven't got any till now I want my coupons right now,voucher
1404,Any one there Ok,greeting
1405,Hey i have requested for 100 rupee coupon and still it has not came,voucher
1406,hi hello,greeting
1407,hi hi hi,greeting
1408,hi hi,greeting
1409,I requested a coupon for 100 its been 3rd week still I didnt recieved mine,voucher
1410,redeemed mobile recharge vouchers on feb 6th and feb 8 th and did not get the coupons till now will i recieve the coupons ? if yes tell me when will i get the coupons,voucher
1411,Hello,greeting
1412,hii hi,greeting
1413,hello anyone der ??,greeting
1414,i haven't recieved my vouchers. i requested 20-25 days before,voucher
1415,hi,greeting
1416,Hi I didnt recieve my voucher voucher request placed before a month ago,voucher
1417,Still not received gift voucher for 600 points,voucher
1418,Hi team Hi team I redeem 3 vouchers still haven't get any voucher code it's happened on last month,voucher
1419,???,greeting
1420,didnt got my gift voucher yet,voucher
1421,still didn't get my gift voucher I send the redeem points in a month ago plz send it fast guys.....,voucher
1422,when i will get my coupons,voucher
1423,hi bounty people this is satish,greeting
1424,hey....how long it will take more?? I had redeemed freexharge coupon on 7th feb,voucher
1425,hello,greeting
1426,hi,greeting
1427,hi hello hi,greeting
1428,hi hello is there any one ???????,greeting
1429,hello.... bounty team,greeting
1430,hello bounty team....,greeting
1431,"im sending request for balance onfeb 12 where is my balance reedem request was send on feb 12 ,13,14 2016 where is my balance waste app",voucher
1432,"hi I raised redeem requests on 9,14 ,21 feb",voucher
1433,hi anybody is there to help me.,greeting
1434,hii,greeting
1435,where is my voucher?,voucher
1436,hi i did not receive a gift i was supposed to get,voucher
1437,"i have requested 100 rs recharge voucher,but still i have not received any confirmation",voucher
1438,hi sir its seems to be to late to give coupons....,voucher
1439,hi sir k,greeting
1440,hi ant body is there,greeting
1441,hi why the reply is too late from u,other
1442,sir...iam getting every time 2 ponts for each checkin why? being connected with internet!!!,points
1443,Hi i had requested for a Flipkart voucher of worth 500/- on 9th Feb still i have not received the voucher,voucher
1444,request of 8th feb still not delivered ??,voucher
1445,hi i have send redeem request for freecharge freefund for Rs.100 on 12th February and it is still not been delivered.,voucher
1446,Hi is anybody there? https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzY5MTY2MTQ5ODkyMTk=.png,other
1447,hi,greeting
